时间(s),温度(摄氏度)
0,25
0.5,25
1,25
1.5,25
2,25
2.5,25
3,25
3.5,25
4,25
4.5,25
5,25
5.5,25
6,25
6.5,25
7,25
7.5,25
8,25
8.5,25
9,25
9.5,25
10,25
10.5,25
11,25
11.5,25
12,25
12.5,25
13,25
13.5,25.001
14,25.003
14.5,25.009
15,25.022
15.5,25.049
16,25.094
16.5,25.167
17,25.273
17.5,25.421
18,25.618
18.5,25.869
19,26.177
19.5,26.548
20,26.981
20.5,27.479
21,28.039
21.5,28.66
22,29.34
22.5,30.076
23,30.865
23.5,31.702
24,32.584
24.5,33.507
25,34.467
25.5,35.46
26,36.483
26.5,37.532
27,38.603
27.5,39.695
28,40.803
28.5,41.926
29,43.061
29.5,44.205
30,45.357
30.5,46.515
31,47.677
31.5,48.841
32,50.007
32.5,51.173
33,52.337
33.5,53.5
34,54.659
34.5,55.815
35,56.966
35.5,58.111
36,59.251
36.5,60.385
37,61.512
37.5,62.632
38,63.744
38.5,64.848
39,65.945
39.5,67.033
40,68.112
40.5,69.183
41,70.245
41.5,71.297
42,72.341
42.5,73.376
43,74.401
43.5,75.417
44,76.424
44.5,77.422
45,78.41
45.5,79.388
46,80.358
46.5,81.318
47,82.269
47.5,83.21
48,84.142
48.5,85.065
49,85.979
49.5,86.884
50,87.78
50.5,88.667
51,89.544
51.5,90.413
52,91.273
52.5,92.125
53,92.968
53.5,93.802
54,94.627
54.5,95.444
55,96.253
55.5,97.054
56,97.846
56.5,98.63
57,99.406
57.5,100.17
58,100.93
58.5,101.69
59,102.43
59.5,103.17
60,103.9
60.5,104.62
61,105.33
61.5,106.04
62,106.74
62.5,107.43
63,108.11
63.5,108.79
64,109.46
64.5,110.13
65,110.78
65.5,111.43
66,112.07
66.5,112.71
67,113.34
67.5,113.96
68,114.58
68.5,115.19
69,115.79
69.5,116.39
70,116.98
70.5,117.57
71,118.15
71.5,118.72
72,119.29
72.5,119.85
73,120.4
73.5,120.95
74,121.5
74.5,122.04
75,122.57
75.5,123.09
76,123.62
76.5,124.13
77,124.64
77.5,125.15
78,125.65
78.5,126.14
79,126.63
79.5,127.12
80,127.6
80.5,128.07
81,128.54
81.5,129
82,129.46
82.5,129.92
83,130.37
83.5,130.81
84,131.25
84.5,131.69
85,132.12
85.5,132.55
86,132.97
86.5,133.39
87,133.8
87.5,134.21
88,134.62
88.5,135.02
89,135.42
89.5,135.81
90,136.2
90.5,136.58
91,136.96
91.5,137.34
92,137.71
92.5,138.08
93,138.44
93.5,138.81
94,139.16
94.5,139.52
95,139.87
95.5,140.21
96,140.56
96.5,140.89
97,141.23
97.5,141.56
98,141.89
98.5,142.21
99,142.54
99.5,142.85
100,143.17
100.5,143.48
101,143.79
101.5,144.09
102,144.4
102.5,144.7
103,144.99
103.5,145.28
104,145.57
104.5,145.86
105,146.14
105.5,146.42
106,146.7
106.5,146.98
107,147.25
107.5,147.52
108,147.78
108.5,148.05
109,148.31
109.5,148.57
110,148.82
110.5,149.07
111,149.32
111.5,149.57
112,149.82
112.5,150.06
113,150.3
113.5,150.53
114,150.77
114.5,151
115,151.23
115.5,151.46
116,151.68
116.5,151.91
117,152.13
117.5,152.35
118,152.56
118.5,152.77
119,152.99
119.5,153.19
120,153.4
120.5,153.61
121,153.81
121.5,154.01
122,154.21
122.5,154.4
123,154.6
123.5,154.79
124,154.98
124.5,155.17
125,155.36
125.5,155.54
126,155.72
126.5,155.9
127,156.08
127.5,156.26
128,156.43
128.5,156.61
129,156.78
129.5,156.95
130,157.11
130.5,157.28
131,157.44
131.5,157.61
132,157.77
132.5,157.93
133,158.08
133.5,158.24
134,158.39
134.5,158.55
135,158.7
135.5,158.85
136,159
136.5,159.14
137,159.29
137.5,159.43
138,159.57
138.5,159.71
139,159.85
139.5,159.99
140,160.12
140.5,160.26
141,160.39
141.5,160.52
142,160.65
142.5,160.78
143,160.91
143.5,161.04
144,161.16
144.5,161.29
145,161.41
145.5,161.53
146,161.65
146.5,161.77
